#separator:tab
#html:false
#deck:ML-vocab
#notetype:Basic
#columns:Front	Back	Tags

What is gradient descent?	An optimization algorithm that minimizes a loss function by repeatedly adjusting model weights in the direction that reduces the loss. Like always stepping downhill — each step follows the steepest slope.	ml-vocab optimization
What is a loss function?	A number measuring how wrong a model's output is. Training minimizes it. Example: reconstruction error = (original − reconstructed)². Lower = better.	ml-vocab fundamentals
What is an "activation" in a neural network?	The output value of a single neuron for a given input. High activation = neuron fired; zero = silent. Usually a number between 0 and 1 after a nonlinearity.	ml-vocab fundamentals
What is the L1 norm of a vector?	Sum of absolute values of all elements: |a₁| + |a₂| + … + |aₙ|. Used as a sparsity penalty because it drives small values toward exactly zero, unlike L2.	ml-vocab math
What does KL-divergence measure?	How different one probability distribution is from another. KL = 0 means identical. In sparse autoencoders, used to push the average neuron firing rate toward a tiny target like 0.05.	ml-vocab math
What does λ (lambda) do in a regularized loss function?	Controls how much weight a penalty term gets. loss = reconstruction_error + λ × penalty. Higher λ → penalty dominates; lower λ → penalty is ignored. You tune it.	ml-vocab optimization
What is an autoencoder?	A neural net trained to copy its input to its output through a bottleneck layer. The bottleneck forces it to learn a compressed representation. Trained by minimizing reconstruction error.	ml-vocab architecture
What makes an autoencoder "sparse"?	A penalty forces most hidden units to be zero for any given input — only a few neurons fire per input. The hidden layer is often larger than the input, not smaller.	ml-vocab architecture sae
What is the encoder in an autoencoder?	The first half of the network. Compresses the input into a bottleneck representation — either smaller (standard) or larger-but-sparse (SAE).	ml-vocab architecture
What is the decoder in an autoencoder?	The second half of the network. Reconstructs the original input from the encoded representation. Its quality is measured by reconstruction error.	ml-vocab architecture
What are the three common sparsity penalties in a sparse autoencoder?	1) L1 norm — penalizes sum of |activations|. 2) KL-divergence — pushes average firing rate toward a target. 3) Top-k — keeps only k largest activations, zeros the rest.	ml-vocab sae
How does top-k sparsity work?	During each forward pass, keep only the k largest hidden activations and zero the rest. Hard constraint — no λ tuning. k is a hyperparameter you choose.	ml-vocab sae
Why do sparse autoencoders matter for AI interpretability?	They learn a large dictionary of sparse features. Each hidden unit tends to correspond to one human-interpretable concept. Used as a microscope into what LLMs are "thinking."	ml-vocab sae interpretability
What is metagenomics?	Sequencing genetic material directly from an environmental sample (soil, water, gut) without culturing organisms first. Captures the full community — bacteria, viruses, fungi — in one run.	bio metagenomics
What is ESMAtlas?	A database of ~617 million predicted protein structures for metagenomic sequences, built by running ESMFold across the MGnify90 catalog. Covers "dark" microbial proteins absent from UniProt/AlphaFoldDB.	bio protein-ai esm
What is ESMFold?	Meta AI's protein structure predictor using only a protein language model — no multiple sequence alignment. Single-sequence, fast (~seconds per protein). Powers ESMAtlas.	bio protein-ai esm
What is MGnify?	EMBL-EBI's database of metagenomic sequences from environmental samples worldwide. MGnify90 (90% identity clusters) is the sequence library ESMAtlas was built from.	bio metagenomics esm
What did Alex Rives do?	Led the ESM protein language model project at Meta AI FAIR, producing ESMFold and ESMAtlas. Co-founded EvolutionaryScale after Meta dissolved the protein team — now building ESM3.	bio protein-ai esm people
What is EvolutionaryScale?	Startup founded ~2023 by former Meta AI protein team (Alex Rives et al.). Develops ESM3, a multimodal protein language model covering sequence, structure, and function.	bio protein-ai esm
What is a protein language model?	A transformer trained on millions of protein sequences to learn the statistical patterns of amino acid co-occurrence — analogous to GPT on text. Encodes evolutionary information without explicit alignment.	bio protein-ai fundamentals
What is the Bitter Lesson? (Sutton, 2019)	Over AI history, methods that leverage raw compute always eventually beat methods encoding human domain knowledge. More data + bigger model beats hand-crafted priors — every time, long-term.	ml-vocab bitter-lesson scale
When does the Bitter Lesson say you should trust scale over human knowledge?	Always, long-term. Short-term, human priors win. But as compute scales, general methods overtake expert-encoded methods. ESMFold vs AlphaFold2 is a direct example.	ml-vocab bitter-lesson scale
What are scaling laws in ML?	Empirical finding that model performance improves predictably (log-linear) as you scale data, compute, and parameters together. More of all three → better model, reliably.	ml-vocab scale fundamentals
What is the scale hypothesis in protein structure prediction?	The bet that a language model trained on enough raw protein sequences will implicitly learn what MSAs make explicit — without needing evolutionary alignments as input.	bio protein-ai scale esm
What is an MSA (Multiple Sequence Alignment)?	Lining up a protein sequence with hundreds of evolutionary relatives so conserved columns reveal structurally/functionally critical residues. AlphaFold2 uses this as input.	bio protein-ai msa
What is the key limitation of MSA-based structure prediction?	Requires a large family of evolutionary relatives to exist in databases. Fails or degrades on: antibody CDR loops, novel metagenomic sequences, synthetic proteins — anything without a deep sequence family.	bio protein-ai msa esm
What did ESMFold bet on vs AlphaFold2?	That evolutionary signal is already implicit in co-occurrence patterns across millions of raw sequences. Skip the MSA; train a big enough language model instead. Scale replaces curated prior.	bio protein-ai esm msa bitter-lesson
What is ESMC and how does it advance ESMFold?	EvolutionaryScale's next-gen protein language model. MSA-free like ESMFold but larger, trained on more data. Treats sequence, structure, and function as a unified language. Stronger on dark-proteome sequences.	bio protein-ai esm
